dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
0,0,0,"3008",0,0,0,0,0,0,0,0,0,0
0,0,1,"3025",16,4,3,0,6,0,0,2,0,0
0,0,0,"3036",3,0,0,0,1,1,1,0,0,0
1,1,2,"3038",19,4,4,2,0,1,2,1,0,1
1,0,0,"3054",2,0,0,0,0,0,0,1,0,0
0,0,0,"3002",0,0,0,0,0,0,0,0,0,0
0,0,0,"3003",2,0,0,0,0,1,0,0,1,0
0,0,0,"3000",1,0,0,0,0,0,0,1,0,0
0,1,0,"3066",13,7,0,1,2,1,0,0,0,1
0,0,0,"3004",1,0,0,0,0,0,0,1,0,0
1,0,0,"3006",1,0,0,0,0,0,0,0,0,0
0,0,3,"3011",44,0,5,6,7,1,0,0,20,2
1,6,1,"3013",33,2,3,2,14,1,0,2,1,0
4,3,4,"3012",46,1,9,1,20,0,0,0,1,3
0,2,3,"3016",12,2,0,0,0,0,2,3,0,0
4,5,2,"3015",50,3,7,3,5,5,0,9,4,3
1,5,3,"3018",24,0,1,3,3,4,1,0,2,1
1,0,2,"3019",11,1,0,3,0,1,0,0,0,3
0,0,0,"3022",1,0,0,0,0,0,0,0,0,1
5,2,3,"3201",52,3,5,4,6,4,2,5,9,4
12,21,19,"3020",137,6,3,5,9,8,9,35,1,9
7,5,3,"3021",35,4,1,1,2,3,2,4,2,1
16,7,8,"3023",99,8,11,4,9,7,1,7,7,14
13,13,12,"3024",160,17,11,18,9,4,14,16,12,21
0,0,0,"3026",0,0,0,0,0,0,0,0,0,0
18,21,16,"3027",172,13,10,12,25,12,8,16,9,12
13,8,10,"3037",147,19,11,13,11,13,6,14,16,13
5,2,3,"3028",23,3,0,1,1,1,0,2,2,3
77,49,50,"3029",641,54,59,61,55,59,18,54,50,55
62,61,68,"3030",760,64,73,70,55,59,50,81,42,75
0,0,0,"3202",0,0,0,0,0,0,0,0,0,0
0,1,1,"3031",10,2,0,1,1,0,1,1,0,2
9,1,3,"3032",42,12,3,0,2,3,2,4,1,2
