postcode, total_installations_quantity
"0800",3
"0810",200
"0812",63
"0820",26
"0822",61
"0845",1
"2795",15
"2797",0
"0828",2
"0829",0
"0830",62
"0832",228
"2798",0
"2799",1
"2800",49
"2803",1
"2804",1
"2805",0
"2806",0
"0834",7
"0835",13
"0836",19
"0853",50
"0854",0
"2807",0
"0837",0
"0846",0
"0838",5
"0839",10
"0840",1
"0841",0
"0847",1
"2808",0
"0850",54
"0852",10
"0860",0
"0862",0
"0870",33
"0872",1
"0880",5
"0885",0
"0886",0
"2000",0
"2007",0
"2008",4
"2017",1
"2009",0
"2010",1
"2011",0
"3400",39
"3401",7
"2015",2
"2016",0
"3407",0
"3409",2
"2018",1
"2022",1
"2019",2
"2020",0
"2021",0
"2306",2
"2307",3
"2023",3
"2032",0
"2024",2
"2297",0
"2025",3
"2026",5
"2027",0
"2192",2
"2028",0
"2193",6
"2029",0
"2030",2
"2031",5
"2033",3
"2038",3
"2034",0
"2035",4
"2036",16
"2037",3
"2048",2
"2039",9
"2122",6
"2123",0
"2125",4
"2302",2
"2040",12
"2041",11
"2042",3
"2043",0
"5151",0
"2044",2
"2045",1
"2046",9
"2047",1
"2049",4
"2050",3
"2060",2
"2061",0
"2062",1
"2063",0
"2064",1
"2065",3
"2066",8
"2067",1
"2068",3
"2069",2
"2070",3
"2071",2
"2072",2
"2073",2
"2074",36
"2075",6
"2076",6
"2077",14
"2079",3
"2080",0
"2081",5
"2082",5
"2083",2
"2084",4
"2085",2
"2086",3
"2087",5
"2088",2
"2089",2
"2090",0
"2092",3
"2093",2
"2094",0
"2095",6
"2096",0
"2097",4
"2099",6
"2100",11
"2101",11
"2102",1
"2103",7
"2104",2
"2105",5
"2106",3
"2107",7
"2108",2
"2110",1
"2111",4
"2112",9
"2113",6
"2114",8
"2115",7
"2139",0
"2116",1
"2117",6
"2118",5
"2143",4
"2144",3
"2145",23
"2146",6
"2147",13
"2119",6
"2120",11
"2121",4
"2126",4
"2127",0
"2148",21
"2128",0
"2130",1
"2157",4
"2158",3
"2159",7
"2131",2
"2171",44
"2172",1
"2173",3
"2174",1
"2132",2
"2308",0
"2311",3
"2312",3
"2133",3
"2177",1
"2178",5
"2179",3
"2315",37
"2134",1
"2191",3
"2316",8
"2317",13
"2318",30
"2319",20
"2320",28
"2321",26
"2322",32
"2135",5
"2323",24
"2324",101
"2325",44
"2136",1
"2137",2
"2138",2
"2326",12
"5164",5
"2140",0
"2344",1
"2345",1
"2346",0
"2347",1
"2350",17
"2352",5
"2141",5
"2142",0
"2380",7
"2381",1
"2382",1
"2386",0
"2387",0
"2388",0
"2390",10
"2395",0
"2396",0
"2397",0
"2398",0
"2150",0
"2151",12
"2152",1
"2153",23
"2154",16
"2155",15
"2156",14
"2160",4
"2161",6
"2400",3
"2401",0
"2402",0
"2403",0
"2404",3
"2405",0
"2406",0
"2408",0
"2409",0
"2410",0
"2162",4
"2430",90
"2431",17
"2439",42
"2440",34
"2441",8
"2443",47
"2444",176
"2445",66
"2446",49
"2447",24
"2448",24
"2449",4
"2450",153
"2452",60
"2453",14
"2454",39
"2455",5
"2456",47
"2460",97
"2462",9
"2163",0
"2164",8
"2165",10
"2166",11
"2463",26
"2464",37
"2465",2
"2466",10
"2469",17
"2470",38
"2471",8
"2472",3
"2473",7
"2474",24
"2475",1
"2476",0
"2477",90
"2478",217
"2479",19
"2167",4
"2168",8
"2170",26
"2175",3
"2480",194
"2481",68
"2482",48
"2483",36
"2484",44
"2485",24
"2486",39
"2487",54
"2176",15
"2530",17
"2533",21
"2534",6
"2535",23
"2536",22
"2537",19
"2538",10
"2539",26
"2190",3
"2540",92
"2194",2
"2550",16
"2551",3
"2555",0
"2556",3
"2557",7
"2195",0
"2196",10
"2198",7
"2627",2
"2628",0
"2629",0
"2630",4
"2631",0
"2632",2
"2633",0
"2640",36
"2197",8
"2203",6
"2663",1
"2665",0
"2199",3
"2200",6
"2666",1
"2668",0
"2669",1
"2671",0
"2672",0
"2675",0
"2680",4
"2204",11
"2214",3
"2722",0
"2725",0
"2726",0
"2727",1
"2729",1
"2205",2
"2206",11
"2207",3
"2730",1
"2731",30
"2732",4
"2733",0
"2734",1
"2735",1
"2736",0
"2737",1
"2738",10
"2739",6
"2745",15
"2747",18
"2208",2
"3008",0
"2209",2
"2210",15
"2211",10
"2212",3
"5306",0
"2213",12
"3616",19
"2216",1
"2217",1
"3617",0
"2218",0
"2219",2
"2220",1
"2221",4
"3618",1
"3620",17
"2222",2
"2223",4
"2224",8
"2225",6
"2226",10
"2227",8
"2228",9
"2229",14
"2230",12
"2231",8
"2232",19
"2233",21
"2234",26
"2250",43
"2251",30
"2256",12
"2257",31
"2258",4
"2259",70
"2260",16
"2261",33
"2262",18
"2263",40
"2264",36
"2265",14
"2267",7
"2278",5
"2280",31
"2281",21
"2282",21
"2283",56
"2284",18
"2285",32
"2286",32
"2287",101
"2289",18
"2290",39
"2291",7
"2292",2
"2293",0
"2294",0
"2295",8
"2296",0
"2298",6
"2303",3
"2304",9
"2305",16
"2299",10
"2300",8
"6068",1
"2327",7
"2328",0
"2329",5
"2330",35
"2333",14
"2334",9
"2335",9
"2336",1
"2337",4
"2338",3
"2339",0
"2340",42
"2341",0
"2342",1
"2343",3
"2353",2
"2354",3
"2355",1
"2356",0
"2357",4
"2358",3
"2359",0
"2360",5
"2361",1
"2365",1
"2369",1
"2370",4
"2371",1
"2372",8
"2379",0
"2399",0
"2411",0
"2415",1
"2420",8
"2421",12
"2422",6
"2423",12
"2424",0
"2425",3
"2426",1
"2427",11
"2428",51
"2429",30
"2488",8
"2489",28
"2490",4
"2500",8
"2502",4
"2505",1
"2506",3
"2508",10
"2515",17
"2516",2
"2517",6
"2518",7
"2519",5
"2525",5
"2526",3
"2527",9
"2528",11
"2529",12
"2541",21
"2545",5
"2546",22
"2548",7
"2549",6
"2558",6
"2559",0
"2560",36
"2563",0
"3025",32
"2564",6
"2565",7
"2566",10
"2567",9
"3036",7
"2568",20
"2569",2
"2570",25
"2571",19
"2572",5
"2573",4
"2574",5
"2575",6
"2576",5
"2577",11
"2578",1
"2579",5
"2580",5
"2581",3
"2582",19
"2583",2
"2584",0
"2585",0
"2586",3
"2587",0
"2588",0
"2590",1
"2594",5
"2600",6
"2601",0
"2602",19
"2603",6
"2604",2
"5035",3
"2605",17
"3038",9
"2606",6
"6032",0
"2607",12
"2609",1
"2611",141
"2809",0
"2810",4
"2817",0
"2818",3
"2820",4
"2821",2
"2612",3
"2823",0
"2824",5
"2825",1
"2827",1
"2828",0
"2829",0
"2830",32
"2831",2
"2832",0
"2833",0
"2834",0
"2614",16
"2615",34
"2617",73
"2618",4
"2865",3
"2866",4
"2867",1
"2868",1
"2869",0
"2870",2
"2871",2
"2873",0
"2874",1
"2875",0
"2876",0
"2877",2
"2619",3
"2620",39
"2621",10
"2622",5
"2623",0
"2625",0
"2626",0
"2641",12
"2642",2
"2643",2
"2644",2
"2645",2
"2646",2
"2647",8
"2648",0
"2650",21
"2651",1
"2652",1
"2653",0
"2879",0
"2880",1
