postcode, total_installations_quantity
"0800",8
"0810",293
"0812",160
"0820",54
"0822",31
"0845",3
"2795",113
"2797",3
"0828",8
"0829",0
"0830",131
"0832",113
"2798",13
"2799",9
"2800",122
"2803",4
"2804",9
"2805",2
"2806",3
"0834",0
"0835",34
"0836",86
"0853",0
"0854",0
"2807",0
"0837",4
"0846",2
"0838",5
"0839",0
"0840",4
"0841",3
"0847",1
"2808",0
"0850",28
"0852",1
"0860",0
"0862",0
"0870",190
"0872",0
"0880",0
"0885",0
"0886",2
"2000",1
"2007",0
"2008",4
"2017",1
"2009",3
"2010",5
"2011",0
"3400",86
"3401",18
"2015",13
"2016",8
"3407",4
"3409",5
"2018",8
"2022",9
"2019",6
"2020",11
"2021",9
"2306",28
"2307",27
"2023",10
"2032",11
"2024",10
"2297",3
"2025",4
"2026",15
"2027",1
"2192",11
"2028",1
"2193",15
"2029",9
"2030",6
"2031",17
"2033",8
"2038",9
"2034",9
"2035",31
"2036",69
"2037",10
"2048",8
"2039",7
"2122",108
"2123",0
"2125",32
"2302",0
"2040",47
"2041",22
"2042",25
"2043",2
"5151",1
"2044",8
"2045",8
"2046",16
"2047",6
"2049",7
"2050",6
"2060",6
"2061",1
"2062",5
"2063",7
"2064",4
"2065",24
"2066",32
"2067",20
"2068",20
"2069",13
"2070",26
"2071",24
"2072",11
"2073",39
"2074",57
"2075",55
"2076",44
"2077",61
"2079",28
"2080",10
"2081",40
"2082",31
"2083",7
"2084",17
"2085",32
"2086",32
"2087",42
"2088",12
"2089",3
"2090",11
"2092",14
"2093",32
"2094",5
"2095",12
"2096",14
"2097",32
"2099",52
"2100",68
"2101",30
"2102",6
"2103",18
"2104",8
"2105",6
"2106",15
"2107",28
"2108",1
"2110",10
"2111",18
"2112",36
"2113",63
"2114",42
"2115",50
"2139",0
"2116",13
"2117",50
"2118",70
"2143",18
"2144",15
"2145",137
"2146",48
"2147",161
"2119",19
"2120",71
"2121",40
"2126",41
"2127",1
"2148",165
"2128",0
"2130",7
"2157",29
"2158",30
"2159",32
"2131",13
"2171",104
"2172",7
"2173",13
"2174",0
"2132",7
"2308",0
"2311",7
"2312",18
"2133",10
"2177",24
"2178",18
"2179",17
"2315",100
"2134",7
"2191",5
"2316",41
"2317",53
"2318",93
"2319",68
"2320",175
"2321",70
"2322",112
"2135",12
"2323",157
"2324",200
"2325",139
"2136",8
"2137",16
"2138",9
"2326",28
"5164",15
"2140",4
"2344",10
"2345",6
"2346",19
"2347",18
"2350",250
"2352",19
"2141",21
"2142",21
"2380",112
"2381",5
"2382",8
"2386",2
"2387",0
"2388",9
"2390",56
"2395",6
"2396",2
"2397",2
"2398",1
"2150",5
"2151",47
"2152",46
"2153",171
"2154",108
"2155",50
"2156",56
"2160",61
"2161",77
"2400",69
"2401",2
"2402",8
"2403",5
"2404",9
"2405",1
"2406",1
"2408",1
"2409",1
"2410",3
"2162",55
"2430",584
"2431",80
"2439",29
"2440",306
"2441",94
"2443",105
"2444",621
"2445",93
"2446",182
"2447",80
"2448",143
"2449",76
"2450",538
"2452",156
"2453",33
"2454",121
"2455",43
"2456",188
"2460",268
"2462",21
"2163",13
"2164",75
"2165",102
"2166",120
"2463",123
"2464",83
"2465",4
"2466",20
"2469",48
"2470",245
"2471",29
"2472",40
"2473",33
"2474",89
"2475",3
"2476",1
"2477",227
"2478",437
"2479",53
"2167",33
"2168",114
"2170",247
"2175",5
"2480",787
"2481",147
"2482",105
"2483",144
"2484",130
"2485",83
"2486",216
"2487",74
"2176",110
"2530",230
"2533",142
"2534",59
"2535",101
"2536",226
"2537",187
"2538",32
"2539",208
"2190",36
"2540",630
"2194",11
"2550",173
"2551",71
"2555",2
"2556",9
"2557",15
"2195",10
"2196",65
"2198",34
"2627",14
"2628",8
"2629",0
"2630",19
"2631",2
"2632",5
"2633",4
"2640",97
"2197",22
"2203",9
"2663",3
"2665",5
"2199",46
"2200",32
"2666",16
"2668",2
"2669",4
"2671",6
"2672",6
"2675",3
"2680",37
"2204",27
"2214",20
"2722",14
"2725",1
"2726",1
"2727",0
"2729",6
"2205",11
"2206",58
"2207",36
"2730",5
"2731",25
"2732",7
"2733",4
"2734",0
"2735",0
"2736",2
"2737",2
"2738",14
"2739",4
"2745",65
"2747",137
"2208",26
"3008",0
"2209",54
"2210",107
"2211",67
"2212",34
"5306",0
"2213",71
"3616",28
"2216",20
"2217",17
"3617",1
"2218",7
"2219",20
"2220",15
"2221",17
"3618",3
"3620",25
"2222",12
"2223",36
"2224",32
"2225",24
"2226",62
"2227",40
"2228",48
"2229",77
"2230",68
"2231",7
"2232",127
"2233",121
"2234",170
"2250",268
"2251",166
"2256",92
"2257",156
"2258",20
"2259",242
"2260",117
"2261",161
"2262",120
"2263",155
"2264",141
"2265",170
"2267",39
"2278",26
"2280",151
"2281",89
"2282",108
"2283",233
"2284",55
"2285",117
"2286",40
"2287",171
"2289",84
"2290",167
"2291",55
"2292",4
"2293",2
"2294",4
"2295",21
"2296",7
"2298",32
"2303",20
"2304",44
"2305",57
"2299",36
"2300",12
"6068",0
"2327",50
"2328",8
"2329",12
"2330",181
"2333",91
"2334",17
"2335",40
"2336",11
"2337",35
"2338",7
"2339",8
"2340",497
"2341",12
"2342",1
"2343",58
"2353",10
"2354",57
"2355",6
"2356",1
"2357",12
"2358",32
"2359",1
"2360",87
"2361",3
"2365",21
"2369",24
"2370",107
"2371",13
"2372",53
"2379",4
"2399",1
"2411",0
"2415",4
"2420",44
"2421",13
"2422",48
"2423",26
"2424",4
"2425",23
"2426",12
"2427",25
"2428",254
"2429",144
"2488",26
"2489",58
"2490",3
"2500",116
"2502",73
"2505",16
"2506",54
"2508",101
"2515",50
"2516",41
"2517",72
"2518",98
"2519",105
"2525",57
"2526",86
"2527",82
"2528",169
"2529",84
"2541",415
"2545",44
"2546",257
"2548",50
"2549",37
"2558",29
"2559",27
"2560",431
"2563",1
"3025",25
"2564",146
"2565",46
"2566",136
"2567",49
"3036",3
"2568",6
"2569",8
"2570",139
"2571",68
"2572",21
"2573",16
"2574",19
"2575",78
"2576",25
"2577",78
"2578",10
"2579",21
"2580",42
"2581",7
"2582",63
"2583",12
"2584",1
"2585",1
"2586",8
"2587",7
"2588",3
"2590",8
"2594",37
"2600",16
"2601",1
"2602",81
"2603",5
"2604",19
"5035",5
"2605",40
"3038",21
"2606",14
"6032",5
"2607",35
"2609",0
"2611",67
"2809",0
"2810",28
"2817",0
"2818",0
"2820",13
"2821",40
"2612",23
"2823",16
"2824",41
"2825",13
"2827",40
"2828",24
"2829",16
"2830",233
"2831",13
"2832",5
"2833",0
"2834",74
"2614",58
"2615",245
"2617",64
"2618",7
"2865",5
"2866",14
"2867",0
"2868",0
"2869",2
"2870",16
"2871",14
"2873",4
"2874",0
"2875",0
"2876",0
"2877",38
"2619",2
"2620",116
"2621",26
"2622",12
"2623",0
"2625",1
"2626",2
"2641",15
"2642",23
"2643",12
"2644",12
"2645",2
"2646",12
"2647",10
"2648",9
"2650",92
"2651",1
"2652",21
"2653",14
"2879",0
"2880",15
"2898",4
"2900",1
"2902",59
"3054",8
"2655",4
"2656",5
"2658",3
"2659",3
"2660",1
"2661",0
"2681",1
"2700",9
"3002",1
"2701",6
"2702",3
"2703",2
"2705",31
"2706",1
"2774",72
"2707",4
"2710",26
"2711",9
"2712",1
"2713",5
"2714",8
"2715",3
"2716",6
"2775",5
"2717",1
"2720",26
"2721",0
"2748",14
"2749",41
"2750",215
"2752",43
"2753",84
"2754",35
"2756",172
"2757",6
"2758",65
"2759",52
"2760",110
"2761",38
"2762",8
"2763",54
"2765",70
"2766",17
"2767",38
"2783",13
"2768",13
"2769",3
"2770",324
"2773",29
"2776",19
"2777",79
"2778",19
"2779",23
"2780",35
"2784",6
"2785",19
"2786",4
"2782",28
"2787",21
"2790",46
"2791",2
"2792",3
"2793",3
"2794",13
"2835",10
"2836",1
"2839",1
"2840",78
"2842",1
"2843",3
"2844",2
"2845",2
"2846",3
"2847",6
"2848",8
"2849",10
"2850",107
"2852",13
"2864",4
"2878",0
"2903",27
"3003",12
"2904",28
"2905",47
"2906",20
"2911",1
"2912",2
"2913",28
"2914",31
"3000",1
"3066",3
"3004",0
"3006",0
"3011",59
"3013",33
"3012",67
"3016",9
"3015",40
"3018",35
"3019",28
"3022",17
"3201",84
"3020",105
"3021",87
"3023",707
"3024",455
"3026",1
"3027",202
"3037",214
"3028",45
"3029",1571
"3030",1517
"3202",1
"3031",12
"3233",11
"3234",0
"3032",70
"3033",42
"3034",18
"3039",13
"3040",35
"3235",5
"3236",1
"3237",1
"3238",2
"3041",14
"3042",48
"3239",0
"3622",3
"3043",31
"3250",87
"3623",9
"3624",1
"3629",41
"3630",217
"3631",103
"3044",74
"3045",0
"3270",1
"3271",1
"3272",3
"3273",0
"3274",2
"3046",120
"3633",7
"3634",15
"3635",6
"3047",24
"3048",9
"3049",35
"3087",19
"3088",39
"3051",97
"3052",1
"3053",5
"3055",26
"3056",55
"3163",53
"3057",30
"3107",12
"3058",107
"3059",28
"3060",23
"3108",15
"3109",34
"3111",18
"3113",10
"3061",9
"3136",90
"3167",10
"3062",0
"3063",0
"3064",579
"3065",7
"3067",5
"3068",45
"3450",38
"3070",128
"3451",28
"3640",5
"3641",7
"3644",66
"3071",50
"3072",129
"3073",159
"3181",10
"3074",6
"3075",103
"3076",435
"3078",59
"3079",24
"3472",3
"3475",1
"3081",43
"3082",20
"3083",116
"3084",34
"3477",5
"3478",10
"3085",14
"3286",5
"3287",3
"3089",31
"3090",6
"3091",4
"3093",29
"3094",20
"3095",29
"3315",2
"3318",3
"3096",2
"3097",3
"3099",23
"3101",20
"3102",9
"3103",24
"3104",32
"3105",24
"3106",38
"3319",0
"3321",6
"3322",0
"3114",6
"3115",5
"3116",17
"3121",46
"3122",16
"3137",33
"3138",81
"3139",34
"3123",15
"6033",3
"3124",17
"3125",12
"3140",53
"3126",10
"3328",10
"3329",3
"3330",0
"3331",80
"3127",23
"3141",8
"3332",4
"3333",4
"3334",0
"3128",36
"3149",98
"3150",98
"3335",3
"3337",392
"3338",271
"3129",18
"3130",55
"3131",33
"3132",35
"3133",34
"3134",41
"3135",29
"3142",5
"3143",11
"3340",298
"3341",10
"3342",19
"3144",12
"3151",13
"3152",32
"3153",50
"3145",24
"3146",36
"3147",32
"3148",33
"3154",3
"3155",33
"3156",58
"3161",10
"3158",11
"3162",51
"3159",4
"3355",31
"3160",18
"3165",68
"3166",27
"3168",30
"3169",16
"3170",15
"3171",40
"3172",15
"3173",92
"3183",21
"3174",34
"3175",113
"3177",8
"3178",31
"3179",10
"3180",9
"3357",21
"3182",17
"3360",6
"3361",3
"3363",11
"3364",15
"3184",12
"3185",15
"3186",35
"3187",17
"3392",2
"3188",31
"3189",4
"3190",17
"3192",28
"3191",27
"3193",23
"3483",2
"3194",12
"3197",7
"3195",78
"3196",65
"3200",6
"3198",23
"3485",1
"3199",95
"3204",75
"3205",9
"3206",15
"3412",2
"3207",7
"3488",0
"3490",8
"3211",6
"3212",164
"3213",0
"4482",0
"3214",54
"5085",49
"3215",44
"3216",329
"3217",0
"3218",39
"3219",36
"3419",7
"3220",30
"3221",34
"3222",75
"3223",99
"3224",181
"3225",21
"3226",120
"3227",36
"3228",139
"3356",130
"3230",8
"3231",9
"3232",4
"3240",5
"3241",20
"3242",5
"3243",5
"3249",20
"3251",0
"3254",2
"3260",15
"3264",3
"3265",10
"3266",8
"3267",1
"3268",5
"3269",2
"3275",5
"3276",1
"3277",7
"3278",4
"3279",2
"3280",92
"3281",6
"3282",8
"3283",4
"3284",19
"3285",8
"3432",0
"3289",3
"3292",2
"3293",1
"3294",3
"3300",31
"3301",8
"3302",1
"3303",0
"3304",8
"3305",58
"3506",0
"3309",1
"3310",1
"3311",7
"3312",3
"3314",2
"3323",0
"3324",2
"3325",4
"3345",0
"3350",249
"3351",27
"3352",122
"3370",6
"3371",2
"3373",4
"3374",1
"3375",0
"3377",22
"3507",0
"3378",0
"3379",2
"3380",16
"3395",6
"3381",6
"3384",4
"3385",2
"3387",1
"3388",1
"3390",0
"3391",1
"3396",4
"3393",8
"3413",2
"3414",10
"3415",0
"3418",4
"3420",4
"3423",2
"3424",5
"3427",3
"3428",0
"3429",182
"3430",0
"3431",27
"3433",1
"3434",29
"3435",20
"3437",76
"3438",19
"3440",6
"3441",4
"3442",39
"3444",54
"3446",3
"3447",3
"3448",7
"3453",10
"3458",14
"3460",11
"3461",16
"3462",6
"3463",13
"3792",3
"3464",3
"3465",20
"3467",3
"3793",9
"3795",1
"3468",0
"3469",0
"3480",7
"3482",1
"3491",0
"3494",4
"3496",45
"3509",0
"3498",28
"3500",413
"3501",12
"3505",27
"3531",0
"3533",2
"3537",3
"3512",2
"3515",15
"3516",2
"3517",5
"3518",3
"3520",0
"3546",1
"3549",19
"3550",161
"3551",264
"3555",129
"3556",53
"3521",1
"3572",0
"3573",0
"3575",2
"3576",0
"3579",22
"3580",4
"3581",1
"3522",1
"3523",27
"3525",8
"3583",0
"3584",4
"3585",42
"3586",3
"3588",0
"3527",0
"3529",0
"3530",0
"3540",3
"3542",0
"3544",0
"3589",0
"3557",7
"3558",10
"3559",3
"3561",19
"3562",0
"3563",2
"3564",117
"3565",0
"3566",2
"3567",3
"3568",10
"3570",7
"3571",1
"3595",3
"3590",1
"3596",0
"3591",1
"3597",2
"3599",0
"3607",0
"3608",22
"3610",12
"3711",8
"3712",1
"3713",7
"3594",0
"3714",36
"3612",20
"3727",0
"3614",8
"3621",12
"3636",32
"3637",1
"3638",16
"3639",2
"3646",4
"3649",1
"3658",44
"3659",3
"3660",16
"3663",1
"3664",7
"3665",1
"3666",39
"3669",11
"3670",7
"3672",39
"3673",12
"3728",0
"3730",45
"3732",8
"3675",13
"3677",81
"3678",38
"3682",2
"3683",11
"3685",18
"3687",2
"3688",10
"3690",169
"3691",58
"3694",11
"3695",2
"3697",5
"3733",0
"3735",5
"3737",21
"3698",2
"3699",3
"3700",4
"3701",4
"3705",1
"3707",10
"3708",0
"3709",1
"3715",1
"3717",13
"3738",1
"3718",1
"3719",4
"3720",2
"3722",21
"3723",12
"3725",2
"3726",3
"3739",0
"3740",4
"3741",20
"3752",288
"3760",4
"3744",2
"3766",0
"3746",2
"3747",36
"5414",0
"3749",27
"3750",2
"3751",0
"3753",10
"3754",1031
"3755",0
"3756",137
"3757",63
"3758",8
"3759",2
"3761",4
"3767",1
"3770",12
"3775",39
"3777",51
"3778",4
"3779",10
"3781",8
"3782",14
"3783",10
"3762",0
"3763",31
"3764",75
"3765",6
"3786",2
"3787",1
"3788",2
"5415",0
"3789",0
"3791",1
"3796",17
"3797",18
"3799",12
"3802",64
"3803",7
"3804",24
"3805",111
"3806",276
"3807",21
"3808",0
"3809",49
"3810",757
"3812",5
"3813",4
"3814",7
"3815",20
"3816",26
"3818",131
"3822",12
"3823",26
"3824",54
"3825",73
"3831",11
"3820",134
"3821",21
"3852",0
"3854",11
"3856",9
"3857",1
"3858",23
"3859",4
"3860",46
"3862",16
"3864",1
"3832",0
"3833",2
"3865",6
"3835",2
"3840",50
"3842",23
"3844",206
"3847",13
"3869",7
"3870",7
"3871",8
"3913",11
"3915",45
"3916",5
"3918",13
"3850",46
"3851",13
"3873",3
"3874",3
"3875",132
"3878",9
"3880",35
"3895",0
"3882",10
"3885",13
"3886",1
"3887",1
"3888",9
"3889",1
"3890",1
"3891",0
"3892",16
"3896",3
"3898",0
"3900",1
"3902",6
"3911",7
"3903",3
"3904",11
"3909",31
"3910",59
"3912",37
"3919",11
"3921",0
"3922",31
"3923",3
"3925",10
"3940",3
"3941",38
"3942",8
"3943",8
"3944",2
"3945",6
"3926",16
"3927",6
"3976",39
"3928",2
"3929",7
"3930",40
"3931",68
"3933",6
"3934",86
"3977",1068
"3978",26
"3979",0
"3980",10
"3981",36
"3984",23
"3936",40
"4009",0
"3937",3
"3938",10
"3939",78
"3946",1
"3950",36
"3951",5
"3953",44
"3954",3
"3956",13
"3957",3
"3958",3
"3959",12
"3960",20
"3962",3
"4010",4
"3964",0
"3965",0
"3966",2
"3967",0
"3971",16
"3975",342
"3987",14
"4117",112
"3988",6
"3990",0
"4018",36
"3991",1
"3992",4
"3995",44
"3996",59
"4022",39
"4025",1
"4029",0
"4000",2
"4061",126
"4005",8
"4006",4
"4007",19
"4008",3
"4011",29
"4376",2
"4377",0
"4012",42
"4013",14
"4014",66
"4017",162
"4019",90
"4020",122
"4021",83
"4030",26
"4031",13
"4032",50
"4034",191
"4035",157
"4036",47
"5416",0
"5417",3
"4037",39
"4051",60
"4053",185
