dec_installations_quantity, oct_installations_quantity, jun_installations_quantity, postcode, total_installations_quantity, jul_installations_quantity, nov_installations_quantity, apr_installations_quantity, sep_installations_quantity, aug_installations_quantity, jan_installations_quantity, may_installations_quantity, feb_installations_quantity, mar_installations_quantity
0,0,0,"3025",0,0,0,0,0,0,0,0,0,0
0,0,0,"3036",0,0,0,0,0,0,0,0,0,0
0,1,0,"3054",1,0,0,0,0,0,0,0,0,0
0,0,1,"3066",2,1,0,0,0,0,0,0,0,0
0,0,0,"3201",21,15,0,0,0,6,0,0,0,0
0,0,0,"3202",0,0,0,0,0,0,0,0,0,0
0,0,0,"3000",1,0,0,0,1,0,0,0,0,0
0,3,0,"3002",3,0,0,0,0,0,0,0,0,0
0,0,0,"3003",1,0,0,0,0,0,0,0,0,1
0,0,0,"3004",0,0,0,0,0,0,0,0,0,0
0,0,0,"3006",0,0,0,0,0,0,0,0,0,0
1,0,0,"3011",1,0,0,0,0,0,0,0,0,0
0,0,0,"3013",1,0,1,0,0,0,0,0,0,0
0,0,0,"3012",0,0,0,0,0,0,0,0,0,0
0,0,0,"3016",1,0,0,1,0,0,0,0,0,0
0,0,0,"3015",0,0,0,0,0,0,0,0,0,0
0,0,0,"3018",0,0,0,0,0,0,0,0,0,0
0,0,0,"3019",0,0,0,0,0,0,0,0,0,0
0,0,0,"3022",0,0,0,0,0,0,0,0,0,0
0,0,0,"3020",2,1,0,0,1,0,0,0,0,0
0,0,0,"3021",0,0,0,0,0,0,0,0,0,0
0,1,0,"3023",1,0,0,0,0,0,0,0,0,0
0,0,0,"3024",2,0,0,0,0,0,1,1,0,0
0,0,0,"3028",0,0,0,0,0,0,0,0,0,0
0,0,0,"3029",0,0,0,0,0,0,0,0,0,0
0,0,0,"3030",0,0,0,0,0,0,0,0,0,0
0,0,1,"3031",2,0,0,0,0,0,0,0,1,0
1,0,0,"3032",2,0,0,0,1,0,0,0,0,0
0,0,0,"3033",0,0,0,0,0,0,0,0,0,0
0,0,0,"3034",0,0,0,0,0,0,0,0,0,0
0,0,0,"3037",0,0,0,0,0,0,0,0,0,0
0,0,0,"3038",0,0,0,0,0,0,0,0,0,0
1,0,0,"3039",1,0,0,0,0,0,0,0,0,0
0,0,0,"3040",1,1,0,0,0,0,0,0,0,0
0,0,0,"3041",0,0,0,0,0,0,0,0,0,0
0,0,0,"3042",0,0,0,0,0,0,0,0,0,0
0,0,0,"3787",0,0,0,0,0,0,0,0,0,0
0,0,0,"3043",1,1,0,0,0,0,0,0,0,0
0,0,0,"3788",1,1,0,0,0,0,0,0,0,0
0,0,0,"3044",2,1,0,0,0,1,0,0,0,0
20,0,0,"3046",28,0,7,0,1,0,0,0,0,0
0,0,0,"3047",1,0,0,0,0,0,0,1,0,0
0,0,0,"3048",0,0,0,0,0,0,0,0,0,0
0,0,0,"3049",2,0,1,0,0,0,0,0,0,1
0,0,0,"3087",0,0,0,0,0,0,0,0,0,0
0,1,0,"3088",6,0,2,0,0,0,0,0,2,1
0,1,0,"3051",1,0,0,0,0,0,0,0,0,0
0,0,0,"3052",1,0,0,0,0,0,0,0,1,0
0,0,1,"3053",1,0,0,0,0,0,0,0,0,0
1,1,1,"3055",4,0,0,0,1,0,0,0,0,0
1,2,0,"3056",8,1,0,0,0,1,0,1,1,1
0,0,0,"3163",0,0,0,0,0,0,0,0,0,0
0,0,0,"3057",4,0,0,1,1,0,0,2,0,0
0,0,0,"3107",0,0,0,0,0,0,0,0,0,0
0,3,0,"3058",7,0,1,0,2,0,0,1,0,0
0,0,0,"3059",0,0,0,0,0,0,0,0,0,0
0,0,0,"3060",0,0,0,0,0,0,0,0,0,0
0,0,1,"3108",1,0,0,0,0,0,0,0,0,0
0,1,0,"3109",1,0,0,0,0,0,0,0,0,0
1,0,0,"3111",1,0,0,0,0,0,0,0,0,0
0,0,0,"3113",4,1,0,1,0,1,0,0,0,1
0,0,0,"3061",0,0,0,0,0,0,0,0,0,0
0,0,0,"3063",1,0,0,0,1,0,0,0,0,0
0,0,0,"3064",2,0,0,1,0,0,0,0,0,1
0,0,0,"3065",0,0,0,0,0,0,0,0,0,0
0,0,0,"3136",3,0,0,0,1,2,0,0,0,0
0,0,0,"3067",1,0,0,0,1,0,0,0,0,0
0,0,0,"3068",4,0,0,0,0,0,0,4,0,0
0,0,0,"3167",0,0,0,0,0,0,0,0,0,0
0,1,2,"3070",9,1,1,0,3,1,0,0,0,0
0,1,0,"3071",3,0,1,0,0,0,0,0,0,1
0,0,0,"3072",4,0,1,0,2,0,1,0,0,0
1,0,1,"3073",3,0,0,0,0,0,0,1,0,0
1,0,0,"3181",1,0,0,0,0,0,0,0,0,0
0,0,0,"3074",1,0,0,0,0,0,0,1,0,0
0,0,0,"3075",0,0,0,0,0,0,0,0,0,0
0,0,0,"3076",0,0,0,0,0,0,0,0,0,0
1,0,0,"3078",2,0,0,0,0,1,0,0,0,0
1,0,0,"3079",2,0,0,0,1,0,0,0,0,0
0,0,0,"3081",0,0,0,0,0,0,0,0,0,0
0,0,0,"3082",0,0,0,0,0,0,0,0,0,0
0,0,0,"3083",1,0,0,0,0,0,0,0,0,1
0,4,1,"3084",10,0,1,1,1,1,0,0,1,0
0,0,0,"3085",0,0,0,0,0,0,0,0,0,0
0,0,1,"3089",3,1,0,0,0,0,0,1,0,0
1,0,0,"3090",2,0,0,0,0,1,0,0,0,0
0,0,0,"3091",0,0,0,0,0,0,0,0,0,0
0,0,0,"3093",2,0,0,0,0,0,0,1,0,1
0,0,0,"3094",1,0,0,0,0,0,0,0,1,0
2,1,0,"3095",11,0,0,2,0,2,0,1,1,2
0,0,0,"3096",0,0,0,0,0,0,0,0,0,0
1,1,0,"3097",7,0,1,0,1,1,1,1,0,0
3,2,0,"3099",10,0,0,0,2,1,2,0,0,0
0,0,0,"3101",2,0,1,1,0,0,0,0,0,0
0,0,0,"3102",0,0,0,0,0,0,0,0,0,0
0,0,0,"3103",0,0,0,0,0,0,0,0,0,0
0,0,0,"3104",2,1,0,0,0,0,0,0,0,1
0,0,0,"3105",0,0,0,0,0,0,0,0,0,0
0,0,0,"3106",1,0,1,0,0,0,0,0,0,0
0,0,0,"3114",0,0,0,0,0,0,0,0,0,0
0,0,0,"3115",0,0,0,0,0,0,0,0,0,0
0,0,0,"3116",0,0,0,0,0,0,0,0,0,0
0,0,0,"3121",2,0,1,0,0,0,0,1,0,0
0,0,0,"3122",1,0,1,0,0,0,0,0,0,0
0,0,0,"3137",1,1,0,0,0,0,0,0,0,0
0,0,0,"3138",0,0,0,0,0,0,0,0,0,0
0,1,0,"3139",2,0,1,0,0,0,0,0,0,0
0,0,0,"3123",0,0,0,0,0,0,0,0,0,0
1,1,0,"3124",2,0,0,0,0,0,0,0,0,0
0,0,0,"3125",0,0,0,0,0,0,0,0,0,0
0,1,0,"3140",8,0,0,0,0,0,3,0,4,0
0,0,0,"3126",0,0,0,0,0,0,0,0,0,0
0,0,0,"3127",1,0,0,0,1,0,0,0,0,0
0,0,0,"3141",0,0,0,0,0,0,0,0,0,0
0,0,0,"3128",3,0,2,0,0,0,0,1,0,0
0,0,0,"3149",2,0,0,0,1,0,0,0,0,1
0,1,1,"3150",3,0,0,0,0,1,0,0,0,0
0,1,0,"3335",5,0,1,2,0,0,0,1,0,0
0,1,0,"3337",2,0,0,0,0,0,0,0,1,0
0,0,0,"3338",0,0,0,0,0,0,0,0,0,0
0,0,0,"3129",0,0,0,0,0,0,0,0,0,0
1,1,0,"3130",4,1,0,0,1,0,0,0,0,0
0,0,0,"3131",1,0,0,1,0,0,0,0,0,0
0,0,0,"3132",0,0,0,0,0,0,0,0,0,0
0,0,0,"3133",2,0,0,0,1,0,0,0,0,1
0,0,0,"3134",1,0,0,1,0,0,0,0,0,0
0,0,0,"3135",1,0,0,0,1,0,0,0,0,0
0,0,0,"3142",0,0,0,0,0,0,0,0,0,0
0,0,0,"3143",0,0,0,0,0,0,0,0,0,0
0,0,0,"3340",1,0,0,0,1,0,0,0,0,0
0,0,0,"3144",1,0,1,0,0,0,0,0,0,0
0,0,0,"3151",0,0,0,0,0,0,0,0,0,0
0,0,0,"3152",1,0,0,0,0,0,0,0,0,1
0,0,0,"3153",1,1,0,0,0,0,0,0,0,0
0,0,0,"3145",1,0,0,0,1,0,0,0,0,0
1,0,1,"3146",2,0,0,0,0,0,0,0,0,0
0,0,0,"3147",0,0,0,0,0,0,0,0,0,0
0,0,0,"3148",0,0,0,0,0,0,0,0,0,0
0,0,0,"3154",0,0,0,0,0,0,0,0,0,0
0,0,0,"3155",0,0,0,0,0,0,0,0,0,0
0,0,0,"3156",1,0,0,0,0,0,0,0,1,0
0,0,0,"3161",0,0,0,0,0,0,0,0,0,0
0,0,0,"3158",1,0,0,0,0,0,0,0,1,0
0,0,0,"3162",0,0,0,0,0,0,0,0,0,0
0,0,0,"3159",1,0,0,0,1,0,0,0,0,0
0,0,1,"3160",2,0,1,0,0,0,0,0,0,0
0,0,0,"3165",0,0,0,0,0,0,0,0,0,0
1,0,0,"3166",1,0,0,0,0,0,0,0,0,0
0,0,0,"3168",0,0,0,0,0,0,0,0,0,0
0,0,0,"3169",0,0,0,0,0,0,0,0,0,0
0,0,0,"3170",2,0,1,1,0,0,0,0,0,0
0,0,0,"3171",0,0,0,0,0,0,0,0,0,0
0,0,0,"3172",2,0,0,0,2,0,0,0,0,0
0,0,0,"3173",0,0,0,0,0,0,0,0,0,0
0,0,1,"3183",2,0,0,0,0,0,0,1,0,0
1,0,2,"3174",3,0,0,0,0,0,0,0,0,0
0,0,0,"3175",2,0,0,0,0,0,0,0,2,0
0,0,1,"3177",1,0,0,0,0,0,0,0,0,0
0,0,0,"3178",3,0,0,0,0,0,0,3,0,0
0,0,0,"3179",0,0,0,0,0,0,0,0,0,0
0,0,0,"3180",0,0,0,0,0,0,0,0,0,0
0,0,1,"3182",1,0,0,0,0,0,0,0,0,0
0,0,0,"3184",0,0,0,0,0,0,0,0,0,0
0,0,0,"3185",1,0,0,0,0,0,0,0,0,1
0,0,0,"3186",0,0,0,0,0,0,0,0,0,0
1,0,0,"3187",1,0,0,0,0,0,0,0,0,0
0,0,0,"3188",2,0,0,0,0,2,0,0,0,0
0,0,0,"3189",0,0,0,0,0,0,0,0,0,0
0,0,0,"3190",0,0,0,0,0,0,0,0,0,0
0,0,0,"3192",2,0,0,0,0,0,0,1,0,1
0,0,0,"3191",0,0,0,0,0,0,0,0,0,0
0,0,1,"3193",1,0,0,0,0,0,0,0,0,0
0,0,0,"3194",0,0,0,0,0,0,0,0,0,0
0,0,0,"3197",2,1,0,0,1,0,0,0,0,0
0,0,0,"3195",1,0,0,0,0,1,0,0,0,0
0,0,0,"3196",0,0,0,0,0,0,0,0,0,0
0,0,0,"3200",0,0,0,0,0,0,0,0,0,0
0,0,0,"3198",0,0,0,0,0,0,0,0,0,0
0,0,0,"3199",1,0,0,0,1,0,0,0,0,0
0,0,0,"3204",0,0,0,0,0,0,0,0,0,0
0,0,0,"3205",1,0,0,0,0,0,0,0,0,1
0,0,1,"3206",2,0,0,0,0,1,0,0,0,0
0,0,0,"3207",0,0,0,0,0,0,0,0,0,0
0,0,0,"3211",1,1,0,0,0,0,0,0,0,0
1,1,0,"3212",4,2,0,0,0,0,0,0,0,0
1,0,1,"3222",4,1,0,0,0,0,0,1,0,0
1,0,0,"3223",1,0,0,0,0,0,0,0,0,0
0,0,0,"3224",0,0,0,0,0,0,0,0,0,0
0,0,0,"3225",3,1,0,0,0,0,0,0,0,2
0,0,0,"3226",2,0,0,0,0,1,1,0,0,0
1,1,0,"3227",3,1,0,0,0,0,0,0,0,0
0,0,0,"3427",0,0,0,0,0,0,0,0,0,0
0,0,0,"3428",0,0,0,0,0,0,0,0,0,0
1,0,0,"3429",2,0,0,0,0,0,0,0,0,1
0,0,0,"3430",0,0,0,0,0,0,0,0,0,0
0,0,0,"3431",1,1,0,0,0,0,0,0,0,0
0,1,2,"3437",6,0,1,0,0,1,0,1,0,0
1,1,2,"3458",6,0,0,0,0,0,0,1,1,0
0,0,0,"3792",0,0,0,0,0,0,0,0,0,0
1,0,0,"3793",1,0,0,0,0,0,0,0,0,0
0,0,1,"3795",3,0,0,1,0,0,0,0,1,0
0,0,0,"3752",10,10,0,0,0,0,0,0,0,0
0,0,0,"3786",0,0,0,0,0,0,0,0,0,0
0,0,0,"3766",1,0,0,0,0,0,0,0,1,0
0,0,0,"3750",0,0,0,0,0,0,0,0,0,0
0,0,0,"3751",0,0,0,0,0,0,0,0,0,0
0,0,0,"3753",0,0,0,0,0,0,0,0,0,0
0,0,0,"3754",1,0,0,0,0,0,0,1,0,0
0,0,0,"3755",0,0,0,0,0,0,0,0,0,0
0,0,2,"3757",7,0,1,1,1,1,0,1,0,0
0,0,0,"3759",1,0,0,1,0,0,0,0,0,0
0,0,0,"3760",2,0,0,0,0,2,0,0,0,0
1,1,0,"3761",4,0,1,0,0,0,0,0,0,1
0,0,0,"3767",1,0,0,0,0,0,0,0,1,0
0,0,1,"3770",2,0,0,0,0,0,0,0,1,0
0,2,0,"3775",3,0,0,0,0,1,0,0,0,0
1,0,0,"3777",9,2,0,0,1,2,1,2,0,0
0,0,0,"3778",0,0,0,0,0,0,0,0,0,0
0,0,0,"3781",0,0,0,0,0,0,0,0,0,0
0,1,2,"3782",5,0,0,0,0,0,0,0,2,0
0,0,0,"3783",1,0,0,0,0,0,0,0,0,1
0,0,0,"3763",1,0,0,0,0,1,0,0,0,0
0,0,0,"3765",0,0,0,0,0,0,0,0,0,0
0,0,0,"3789",0,0,0,0,0,0,0,0,0,0
0,0,0,"3791",0,0,0,0,0,0,0,0,0,0
0,0,0,"3796",1,0,0,0,0,0,0,0,0,1
0,1,0,"3802",1,0,0,0,0,0,0,0,0,0
0,0,0,"3803",0,0,0,0,0,0,0,0,0,0
0,1,0,"3804",3,0,0,0,0,0,0,1,0,1
