postcode, total_installations_quantity
"3008",0
"3025",25
"3036",2
"3038",6
"3054",3
"3002",1
"3003",1
"3000",0
"3066",4
"3004",0
"3006",0
"3011",27
"3013",20
"3012",98
"3016",14
"3015",33
"3018",37
"3019",59
"3022",11
"3201",22
"3020",83
"3021",79
"3023",159
"3024",167
"3026",0
"3027",222
"3037",92
"3028",27
"3029",991
"3030",917
"3202",1
"3031",2
"3032",45
"3033",24
"3034",9
"3039",20
"3040",74
"3041",37
"3042",81
"3043",11
"3044",74
"3045",0
"3046",141
"3047",23
"3048",5
"3049",28
"3087",2
"3088",26
"3051",20
"3052",1
"3053",19
"3055",29
"3056",71
"3163",62
"3057",7
"3107",12
"3058",132
"3059",262
"3060",17
"3108",21
"3109",39
"3111",23
"3113",6
"3061",0
"3136",85
"3167",24
"3062",0
"3063",0
"3064",715
"3065",1
"3067",8
"3068",16
"3070",46
"3071",48
"3072",51
"3073",91
"3181",5
"3074",44
"3075",124
"3076",147
"3078",53
"3079",20
"3081",66
"3082",13
"3083",88
"3084",18
"3085",10
"3089",21
"3090",7
"3091",3
"3093",1
"3094",13
"3095",12
"3096",2
"3097",2
"3099",3
"3101",17
"3102",10
"3103",34
"3104",38
"3105",18
"3106",13
"3114",3
"3115",3
"3116",23
"3121",25
"3122",13
"3137",25
"3138",18
"3139",10
"3123",14
"3124",45
"3125",41
"3140",41
"3126",2
"3127",15
"3141",4
"3128",44
"3149",112
"3150",133
"3335",333
"3337",237
"3338",336
"3129",34
"3130",86
"3131",55
"3132",17
"3133",22
"3134",16
"3135",33
"3142",4
"3143",1
"3340",131
"3144",10
"3151",16
"3152",92
"3153",17
"3145",25
"3146",50
"3147",75
"3148",34
"3154",1
"3155",9
"3156",26
"3161",19
"3158",0
"3162",31
"3159",1
"3160",3
"3165",157
"3166",42
"3168",51
"3169",19
"3170",18
"3171",35
"3172",18
"3173",332
"3183",9
"3174",21
"3175",50
"3177",15
"3178",8
"3179",1
"3180",4
"3182",2
"3184",6
"3185",6
"3186",26
"3187",54
"3188",31
"3189",8
"3190",21
"3192",106
"3191",15
"3193",34
"3194",11
"3197",13
"3195",45
"3196",33
"3200",2
"3198",9
"3199",46
"3204",93
"3205",3
"3206",9
"3207",1
"3211",4
"3212",81
"3222",141
"3223",74
"3224",122
"3225",26
"3226",128
"3227",28
"3427",88
"3428",2
"3429",137
"3430",0
"3431",12
"3437",101
"3458",7
"3792",0
"3793",1
"3795",2
"3752",96
"3760",0
"3766",0
"3750",295
"3751",0
"3753",66
"3754",1122
"3755",2
"3757",55
"3759",3
"3761",3
"3767",0
"3770",3
"3775",17
"3777",6
"3778",0
"3781",1
"3782",5
"3783",7
"3763",3
"3765",4
"3786",0
"3787",0
"3788",0
"3789",0
"3791",1
"3796",15
"3802",22
"3803",22
"3804",20
"3805",153
"3806",182
"3807",19
"3808",7
"3809",346
"3810",425
"3812",7
"3813",1
"3814",11
"3913",7
"3915",18
"3916",3
"3918",15
"3911",4
"3910",32
"3912",11
"3919",3
"3921",0
"3922",66
"3923",1
"3940",22
"3941",27
"3942",4
"3943",3
"3944",2
"3945",3
"3926",16
"3927",3
"3976",18
"3928",0
"3929",2
"3930",21
"3931",46
"3933",2
"3934",37
"3977",1096
"3978",574
"3979",0
"3980",3
"3981",58
"3984",30
"3936",155
"3937",5
"3938",4
"3939",45
"3975",61
"3990",2
"3991",0
"3992",11
"3995",40
