postcode, total_installations_quantity
2000,9
2007,8
2008,35
2009,8
2010,62
2011,5
2015,77
2016,44
2017,22
2018,41
2019,53
2020,70
2021,82
2022,54
2023,43
2024,74
2025,45
2026,131
2027,16
2028,7
2029,33
2030,71
2031,200
2032,68
2033,36
2034,105
2035,251
2036,426
2037,189
2038,174
2039,143
2040,381
2041,236
2042,161
2043,28
2044,81
2045,61
2046,162
2047,34
2048,56
2049,104
2050,51
2060,44
2061,4
2062,42
2063,47
2064,23
2065,126
2066,229
2067,115
2068,154
2069,137
2070,176
2071,154
2072,67
2073,234
2074,467
2075,301
2076,355
2077,518
2079,211
2080,81
2081,242
2082,247
2083,96
2084,98
2085,184
2086,207
2087,227
2088,137
2089,42
2090,46
2092,86
2093,209
2094,26
2095,52
2096,93
2097,142
2099,233
2100,331
2101,241
2102,61
2103,133
2104,69
2105,53
2106,92
2107,195
2108,40
2110,76
2111,133
2112,289
2113,250
2114,209
2115,158
2116,55
2117,289
2118,516
2119,175
2120,496
2121,328
2122,363
2123,2
2125,293
2126,229
2127,467
2128,8
2130,46
2131,89
2132,69
2133,68
2134,55
2135,129
2136,32
2137,168
2138,56
2139,1
2140,30
2141,129
2142,108
2143,102
2144,126
2145,799
2146,274
2147,767
2148,875
2150,42
2151,279
2152,182
2153,1066
2154,664
2155,497
2156,475
2157,132
2158,195
2159,239
2160,258
2161,269
2162,224
2163,74
2164,401
2165,444
2166,561
2167,183
2168,445
2170,1172
2171,1060
2172,39
2173,62
2174,13
2175,47
2176,595
2177,96
2178,118
2179,104
2190,192
2191,39
2192,73
2193,142
2194,66
2195,58
2196,250
2197,170
2198,186
2199,249
2200,261
2203,78
2204,199
2205,86
2206,258
2207,249
2208,130
2209,203
2210,521
2211,312
2212,214
2213,544
2214,99
2216,118
2217,150
2218,63
2219,128
2220,141
2221,182
2222,79
2223,276
2224,281
2225,169
2226,430
2227,341
2228,291
2229,491
2230,465
2231,83
2232,780
2233,819
2234,1016
2250,1760
2251,1207
2256,610
2257,1075
2258,211
2259,2336
2260,734
2261,1308
2262,811
2263,1038
2264,1194
2265,642
2281,894
2325,1241
2330,1137
2500,637
2502,302
2505,122
2506,249
2508,606
2515,408
2516,178
2517,384
2518,455
2519,446
2525,356
2526,430
2530,1137
2555,5
2556,63
2557,121
2558,167
2559,58
2560,2025
2563,11
2564,501
2565,387
2566,667
2567,316
2568,203
2569,99
2570,1080
2571,642
2572,165
2573,95
2574,176
2575,440
2576,161
2577,472
2579,155
2580,292
2745,430
2747,774
2748,89
2749,233
2750,1115
2752,236
2753,571
2754,235
2756,831
2757,25
2758,426
2759,303
2760,494
2761,214
2762,62
2763,250
2765,413
2766,166
2767,254
2768,158
2769,61
2770,878
2773,168
2774,343
2775,52
2776,126
2777,421
2778,103
2779,108
2780,173
2782,132
2783,53
2784,31
2785,75
2786,31
2787,120
2790,213
2795,678
2845,16
2846,21
2847,55
2849,62
2850,637
