postcode, total_installations_quantity
"2795",9
"2000",1
"2007",0
"2008",1
"2017",0
"2009",0
"2010",1
"2011",0
"2015",2
"2016",2
"2018",1
"2022",1
"2019",0
"2020",2
"2021",0
"2023",0
"2032",2
"2024",4
"2025",0
"2026",2
"2027",1
"2192",4
"2028",0
"2193",2
"2029",0
"2030",0
"2031",2
"2033",0
"2038",15
"2034",4
"2035",5
"2036",9
"2037",13
"2048",1
"2039",6
"2122",6
"2123",0
"2125",7
"2040",24
"2041",12
"2042",4
"2043",0
"2044",3
"2045",0
"2046",2
"2047",0
"2049",1
"2050",1
"2060",1
"2061",0
"2062",0
"2063",1
"2064",1
"2065",4
"2066",3
"2067",3
"2068",2
"2069",5
"2070",6
"2071",5
"2072",1
"2073",8
"2074",14
"2075",11
"2076",11
"2077",9
"2079",6
"2080",3
"2081",8
"2082",4
"2083",3
"2084",7
"2085",6
"2086",10
"2087",5
"2088",1
"2089",3
"2090",1
"2092",0
"2093",3
"2094",1
"2095",1
"2096",2
"2097",2
"2099",3
"2100",5
"2101",5
"2102",2
"2103",4
"2104",3
"2105",2
"2106",1
"2107",3
"2108",3
"2110",1
"2111",10
"2112",8
"2113",2
"2114",4
"2115",2
"2139",0
"2116",0
"2117",5
"2118",9
"2143",4
"2144",3
"2145",14
"2146",8
"2147",11
"2119",0
"2120",12
"2121",1
"2126",2
"2127",1
"2148",13
"2128",0
"2130",0
"2157",5
"2158",10
"2159",8
"2131",6
"2171",15
"2172",0
"2173",1
"2174",2
"2132",3
"2133",4
"2177",6
"2178",4
"2179",2
"2134",2
"2191",0
"2135",4
"2325",34
"2136",0
"2137",3
"2138",2
"2140",0
"2141",4
"2142",5
"2150",3
"2151",7
"2152",2
"2153",18
"2154",14
"2155",18
"2156",19
"2160",6
"2161",4
"2162",6
"2163",3
"2164",10
"2165",7
"2166",12
"2167",0
"2168",8
"2170",21
"2175",0
"2176",7
"2530",40
"2190",8
"2194",1
"2555",0
"2556",1
"2557",7
"2195",0
"2196",4
"2198",6
"2197",2
"2203",5
"2199",3
"2200",5
"2204",10
"2214",1
"2205",2
"2206",2
"2207",7
"2745",14
"2747",17
"2208",4
"2209",2
"2210",9
"2211",6
"2212",3
"2213",9
"2216",3
"2217",9
"2218",2
"2219",2
"2220",6
"2221",3
"2222",0
"2223",8
"2224",9
"2225",2
"2226",10
"2227",11
"2228",11
"2229",9
"2230",13
"2231",1
"2232",23
"2233",29
"2234",16
"2250",38
"2251",13
"2256",12
"2257",30
"2258",6
"2259",105
"2260",9
"2261",18
"2262",14
"2263",21
"2264",35
"2265",22
"2281",14
"2330",21
"2500",10
"2502",7
"2505",1
"2506",6
"2508",21
"2515",10
"2516",3
"2517",3
"2518",11
"2519",12
"2525",6
"2526",7
"2558",1
"2559",0
"2560",21
"2563",1
"2564",4
"2565",8
"2566",8
"2567",7
"2568",18
"2569",1
"2570",26
"2571",21
"2572",2
"2573",2
"2574",4
"2575",8
"2576",2
"2577",11
"2579",5
"2580",10
"2774",4
"2775",1
"2748",2
"2749",12
"2750",28
"2752",6
"2753",19
"2754",29
"2756",21
"2757",0
"2758",11
"2759",5
"2760",6
"2761",5
"2762",1
"2763",5
"2765",4
"2766",2
"2767",6
"2783",1
"2768",1
"2769",0
"2770",12
"2773",1
"2776",4
"2777",12
"2778",0
"2779",1
"2780",4
"2784",0
"2785",1
"2786",0
"2782",1
"2787",3
"2790",4
"2845",0
"2846",1
"2847",1
"2849",1
"2850",6
