,postcode, total_installations_quantity
0,800,84.0
1,810,2921.0
2,812,2056.0
3,820,1114.0
4,822,595.0
5,828,126.0
6,829,31.0
7,830,2434.0
8,832,2310.0
9,834,30.0
10,835,443.0
11,836,668.0
12,837,53.0
13,838,56.0
14,839,62.0
15,840,43.0
16,841,26.0
17,845,59.0
18,846,27.0
19,847,14.0
20,850,542.0
21,852,177.0
22,853,85.0
23,854,54.0
24,860,71.0
25,862,7.0
26,870,2343.0
27,872,412.0
28,880,253.0
29,885,6.0
30,886,12.0
31,2000,9.0
32,2007,8.0
33,2008,35.0
34,2009,8.0
35,2010,62.0
36,2011,5.0
37,2015,77.0
38,2016,44.0
39,2017,22.0
40,2018,41.0
41,2019,53.0
42,2020,70.0
43,2021,82.0
44,2022,54.0
45,2023,43.0
46,2024,74.0
47,2025,45.0
48,2026,131.0
49,2027,16.0
50,2028,7.0
51,2029,33.0
52,2030,71.0
53,2031,200.0
54,2032,68.0
55,2033,36.0
56,2034,105.0
57,2035,251.0
58,2036,426.0
59,2037,189.0
60,2038,174.0
61,2039,143.0
62,2040,381.0
63,2041,236.0
64,2042,161.0
65,2043,28.0
66,2044,81.0
67,2045,61.0
68,2046,162.0
69,2047,34.0
70,2048,56.0
71,2049,104.0
72,2050,51.0
73,2060,44.0
74,2061,4.0
75,2062,42.0
76,2063,47.0
77,2064,23.0
78,2065,126.0
79,2066,229.0
80,2067,115.0
81,2068,154.0
82,2069,137.0
83,2070,176.0
84,2071,154.0
85,2072,67.0
86,2073,234.0
87,2074,467.0
88,2075,301.0
89,2076,355.0
90,2077,518.0
91,2079,211.0
92,2080,81.0
93,2081,242.0
94,2082,247.0
95,2083,96.0
96,2084,98.0
97,2085,184.0
98,2086,207.0
99,2087,227.0
100,2088,137.0
101,2089,42.0
102,2090,46.0
103,2092,86.0
104,2093,209.0
105,2094,26.0
106,2095,52.0
107,2096,93.0
108,2097,142.0
109,2099,233.0
110,2100,331.0
111,2101,241.0
112,2102,61.0
113,2103,133.0
114,2104,69.0
115,2105,53.0
116,2106,92.0
117,2107,195.0
118,2108,40.0
119,2110,76.0
120,2111,133.0
121,2112,289.0
122,2113,250.0
123,2114,209.0
124,2115,158.0
125,2116,55.0
126,2117,289.0
127,2118,516.0
128,2119,175.0
129,2120,496.0
130,2121,328.0
131,2122,363.0
132,2123,2.0
133,2125,293.0
134,2126,229.0
135,2127,467.0
136,2128,8.0
137,2130,46.0
138,2131,89.0
139,2132,69.0
140,2133,68.0
141,2134,55.0
142,2135,129.0
143,2136,32.0
144,2137,168.0
145,2138,56.0
146,2139,1.0
147,2140,30.0
148,2141,129.0
149,2142,108.0
150,2143,102.0
151,2144,126.0
152,2145,799.0
153,2146,274.0
154,2147,767.0
155,2148,875.0
156,2150,42.0
157,2151,279.0
158,2152,182.0
159,2153,1066.0
160,2154,664.0
161,2155,497.0
162,2156,475.0
163,2157,132.0
164,2158,195.0
165,2159,239.0
166,2160,258.0
167,2161,269.0
168,2162,224.0
169,2163,74.0
170,2164,401.0
171,2165,444.0
172,2166,561.0
173,2167,183.0
174,2168,445.0
175,2170,1172.0
176,2171,1060.0
177,2172,39.0
178,2173,62.0
179,2174,13.0
180,2175,47.0
181,2176,595.0
182,2177,96.0
183,2178,118.0
184,2179,104.0
185,2190,192.0
186,2191,39.0
187,2192,73.0
188,2193,142.0
189,2194,66.0
190,2195,58.0
191,2196,250.0
192,2197,170.0
193,2198,186.0
194,2199,249.0
195,2200,261.0
196,2203,78.0
197,2204,199.0
198,2205,86.0
199,2206,258.0
200,2207,249.0
201,2208,130.0
202,2209,203.0
203,2210,521.0
204,2211,312.0
205,2212,214.0
206,2213,544.0
207,2214,99.0
208,2216,118.0
209,2217,150.0
210,2218,63.0
211,2219,128.0
212,2220,141.0
213,2221,182.0
214,2222,79.0
215,2223,276.0
216,2224,281.0
217,2225,169.0
218,2226,430.0
219,2227,341.0
220,2228,291.0
221,2229,491.0
222,2230,465.0
223,2231,83.0
224,2232,780.0
225,2233,819.0
226,2234,1016.0
227,2250,1760.0
228,2251,1207.0
229,2256,610.0
230,2257,1075.0
231,2258,211.0
232,2259,2336.0
233,2260,734.0
234,2261,1308.0
235,2262,811.0
236,2263,1038.0
237,2264,1194.0
238,2265,642.0
239,2267,244.0
240,2278,168.0
241,2280,1179.0
242,2281,894.0
243,2282,718.0
244,2283,1730.0
245,2284,634.0
246,2285,1009.0
247,2286,370.0
248,2287,1319.0
249,2289,591.0
250,2290,1264.0
251,2291,313.0
252,2292,35.0
253,2293,39.0
254,2294,27.0
255,2295,175.0
256,2296,31.0
257,2297,42.0
258,2298,211.0
259,2299,258.0
260,2300,133.0
261,2302,4.0
262,2303,132.0
263,2304,294.0
264,2305,370.0
265,2306,51.0
266,2307,175.0
267,2308,4.0
268,2311,65.0
269,2312,124.0
270,2315,903.0
271,2316,332.0
272,2317,358.0
273,2318,879.0
274,2319,489.0
275,2320,1230.0
276,2321,718.0
277,2322,764.0
278,2323,948.0
279,2324,1774.0
280,2325,1241.0
281,2326,336.0
282,2327,269.0
283,2328,85.0
284,2329,69.0
285,2330,1137.0
286,2333,686.0
287,2334,187.0
288,2335,420.0
289,2336,126.0
290,2337,338.0
291,2338,42.0
292,2339,30.0
293,2340,1867.0
294,2341,47.0
295,2342,16.0
296,2343,196.0
297,2344,29.0
298,2345,40.0
299,2346,111.0
300,2347,48.0
301,2350,1010.0
302,2352,119.0
303,2353,52.0
304,2354,158.0
305,2355,23.0
306,2356,2.0
307,2357,146.0
308,2358,149.0
309,2359,17.0
310,2360,534.0
311,2361,35.0
312,2365,99.0
313,2369,40.0
314,2370,258.0
315,2371,38.0
316,2372,176.0
317,2379,13.0
318,2380,303.0
319,2381,26.0
320,2382,35.0
321,2386,9.0
322,2387,6.0
323,2388,57.0
324,2390,307.0
325,2395,18.0
326,2396,12.0
327,2397,8.0
328,2398,8.0
329,2399,4.0
330,2400,203.0
331,2401,5.0
332,2402,52.0
333,2403,40.0
334,2404,96.0
335,2405,2.0
336,2406,12.0
337,2408,12.0
338,2409,14.0
339,2410,10.0
340,2411,1.0
341,2415,16.0
342,2420,277.0
343,2421,144.0
344,2422,316.0
345,2423,225.0
346,2424,27.0
347,2425,142.0
348,2426,64.0
349,2427,425.0
350,2428,1645.0
351,2429,941.0
352,2430,3266.0
353,2431,690.0
354,2439,379.0
355,2440,1955.0
356,2441,655.0
357,2443,1327.0
358,2444,5199.0
359,2445,1076.0
360,2446,1605.0
361,2447,682.0
362,2448,882.0
363,2449,241.0
364,2450,4548.0
365,2452,1572.0
366,2453,279.0
367,2454,1065.0
368,2455,403.0
369,2456,1542.0
370,2460,2515.0
371,2462,222.0
372,2463,1065.0
373,2464,1014.0
374,2465,32.0
375,2466,249.0
376,2469,407.0
377,2470,1422.0
378,2471,240.0
379,2472,232.0
380,2473,354.0
381,2474,599.0
382,2475,17.0
383,2476,21.0
