id, postcode, total_installations_quantity
0,2000,9
1,2007,8
2,2008,35
3,2009,8
4,2010,62
5,2011,5
6,2015,77
7,2016,44
8,2017,22
9,2018,41
10,2019,53
11,2020,70
12,2021,82
13,2022,54
14,2023,43
15,2024,74
16,2025,45
17,2026,131
18,2027,16
19,2028,7
20,2029,33
21,2030,71
22,2031,200
23,2032,68
24,2033,36
25,2034,105
26,2035,251
27,2036,426
28,2037,189
29,2038,174
30,2039,143
31,2040,381
32,2041,236
33,2042,161
34,2043,28
35,2044,81
36,2045,61
37,2046,162
38,2047,34
39,2048,56
40,2049,104
41,2050,51
42,2060,44
43,2061,4
44,2062,42
45,2063,47
46,2064,23
47,2065,126
48,2066,229
49,2067,115
50,2068,154
51,2069,137
52,2070,176
53,2071,154
54,2072,67
55,2073,234
56,2074,467
57,2075,301
58,2076,355
59,2077,518
60,2079,211
61,2080,81
62,2081,242
63,2082,247
64,2083,96
65,2084,98
66,2085,184
67,2086,207
68,2087,227
69,2088,137
70,2089,42
71,2090,46
72,2092,86
73,2093,209
74,2094,26
75,2095,52
76,2096,93
77,2097,142
78,2099,233
79,2100,331
80,2101,241
81,2102,61
82,2103,133
83,2104,69
84,2105,53
85,2106,92
86,2107,195
87,2108,40
88,2110,76
89,2111,133
90,2112,289
91,2113,250
92,2114,209
93,2115,158
94,2116,55
95,2117,289
96,2118,516
97,2119,175
98,2120,496
99,2121,328
100,2122,363
101,2123,2
102,2125,293
103,2126,229
104,2127,467
105,2128,8
106,2130,46
107,2131,89
108,2132,69
109,2133,68
110,2134,55
111,2135,129
112,2136,32
113,2137,168
114,2138,56
115,2139,1
116,2140,30
117,2141,129
118,2142,108
119,2143,102
120,2144,126
121,2145,799
122,2146,274
123,2147,767
124,2148,875
125,2150,42
126,2151,279
127,2152,182
128,2153,1066
129,2154,664
130,2155,497
131,2156,475
132,2157,132
133,2158,195
134,2159,239
135,2160,258
136,2161,269
137,2162,224
138,2163,74
139,2164,401
140,2165,444
141,2166,561
142,2167,183
143,2168,445
144,2170,1172
145,2171,1060
146,2172,39
147,2173,62
148,2174,13
149,2175,47
150,2176,595
151,2177,96
152,2178,118
153,2179,104
154,2190,192
155,2191,39
156,2192,73
157,2193,142
158,2194,66
159,2195,58
160,2196,250
161,2197,170
162,2198,186
163,2199,249
164,2200,261
165,2203,78
166,2204,199
167,2205,86
168,2206,258
169,2207,249
170,2208,130
171,2209,203
172,2210,521
173,2211,312
174,2212,214
175,2213,544
176,2214,99
177,2216,118
178,2217,150
179,2218,63
180,2219,128
181,2220,141
182,2221,182
183,2222,79
184,2223,276
185,2224,281
186,2225,169
187,2226,430
188,2227,341
189,2228,291
190,2229,491
191,2230,465
192,2231,83
193,2232,780
194,2233,819
195,2234,1016
196,2250,1760
197,2251,1207
198,2256,610
199,2257,1075
200,2258,211
201,2259,2336
202,2260,734
203,2261,1308
204,2262,811
205,2263,1038
206,2264,1194
207,2265,642
208,2281,894
209,2325,1241
210,2330,1137
211,2500,637
212,2502,302
213,2505,122
214,2506,249
215,2508,606
216,2515,408
217,2516,178
218,2517,384
219,2518,455
220,2519,446
221,2525,356
222,2526,430
223,2530,1137
224,2555,5
225,2556,63
226,2557,121
227,2558,167
228,2559,58
229,2560,2025
230,2563,11
231,2564,501
232,2565,387
233,2566,667
234,2567,316
235,2568,203
236,2569,99
237,2570,1080
238,2571,642
239,2572,165
240,2573,95
241,2574,176
242,2575,440
243,2576,161
244,2577,472
245,2579,155
246,2580,292
247,2745,430
248,2747,774
249,2748,89
250,2749,233
251,2750,1115
252,2752,236
253,2753,571
254,2754,235
255,2756,831
256,2757,25
257,2758,426
258,2759,303
259,2760,494
260,2761,214
261,2762,62
262,2763,250
263,2765,413
264,2766,166
265,2767,254
266,2768,158
267,2769,61
268,2770,878
269,2773,168
270,2774,343
271,2775,52
272,2776,126
273,2777,421
274,2778,103
275,2779,108
276,2780,173
277,2782,132
278,2783,53
279,2784,31
280,2785,75
281,2786,31
282,2787,120
283,2790,213
284,2795,678
285,2845,16
286,2846,21
287,2847,55
288,2849,62
289,2850,637
